iter	Accuracy	MultiClass
0	0.5854661792	1.370617091
1	0.5891224863	1.35426209
2	0.5904936015	1.338317366
3	0.5927787934	1.322646206
4	0.592321755	1.308285378
5	0.5918647166	1.295653167
6	0.5941499086	1.281691343
7	0.5936928702	1.269352499
8	0.5932358318	1.257434021
9	0.5932358318	1.245999041
10	0.592321755	1.235311315
11	0.594606947	1.224088733
12	0.5932358318	1.214297853
13	0.5964351005	1.204220513
14	0.5991773309	1.194773163
15	0.5991773309	1.185881726
16	0.5973491773	1.177101006
17	0.594606947	1.168834533
18	0.5964351005	1.160448565
19	0.5959780622	1.152464722
20	0.5955210238	1.144667317
21	0.5964351005	1.137206892
22	0.5973491773	1.130194387
23	0.5955210238	1.123470041
24	0.5978062157	1.116926054
25	0.5964351005	1.110117192
26	0.5964351005	1.103906864
27	0.5982632541	1.097689132
28	0.5982632541	1.091679092
29	0.5987202925	1.086114872
30	0.5987202925	1.080596168
31	0.5982632541	1.075022988
32	0.5964351005	1.069646024
33	0.5968921389	1.06469955
34	0.5982632541	1.059597112
35	0.5987202925	1.054710961
36	0.5982632541	1.050063738
37	0.6000914077	1.045630544
38	0.6005484461	1.041261545
39	0.6000914077	1.036819096
40	0.6010054845	1.03266487
41	0.6014625229	1.028514938
42	0.602833638	1.024318433
43	0.6019195612	1.020482106
44	0.6023765996	1.016670177
45	0.6023765996	1.013094829
46	0.602833638	1.009528415
47	0.6032906764	1.005812474
48	0.6037477148	1.002352402
49	0.6042047532	0.9992603589
50	0.6032906764	0.9958556085
51	0.6042047532	0.9930234816
52	0.6046617916	0.9900555023
53	0.6042047532	0.9870513293
54	0.6037477148	0.9840256756
55	0.6042047532	0.9809726009
56	0.6037477148	0.9783577378
57	0.6032906764	0.9755822507
58	0.6023765996	0.9727513926
59	0.602833638	0.9702673342
60	0.6032906764	0.9674235428
61	0.6046617916	0.964792393
62	0.6042047532	0.9622068683
63	0.6042047532	0.9596541993
64	0.6042047532	0.9572399989
65	0.6037477148	0.9548608058
66	0.6042047532	0.9529155647
67	0.6037477148	0.9507546274
68	0.602833638	0.9484614689
69	0.6032906764	0.9463638801
70	0.6046617916	0.9444240447
71	0.60511883	0.9421617996
72	0.60511883	0.9401812582
73	0.6060329068	0.9382765061
74	0.6060329068	0.9365660292
75	0.6064899452	0.9347845648
76	0.6069469835	0.9330842179
77	0.6060329068	0.9312695061
78	0.6060329068	0.9296620541
79	0.6060329068	0.9279205892
80	0.6069469835	0.9262260807
81	0.6069469835	0.9245230626
82	0.6078610603	0.9229191554
83	0.6069469835	0.9214924694
84	0.6096892139	0.9196912653
85	0.6096892139	0.9181567535
86	0.6092321755	0.9167456353
87	0.6106032907	0.9154269222
88	0.6101462523	0.9141650144
89	0.6110603291	0.912695972
90	0.6119744059	0.9113818742
91	0.6124314442	0.9099690913
92	0.6115173675	0.9086595901
93	0.6119744059	0.9072968399
94	0.613345521	0.9060079354
95	0.613345521	0.9046711543
96	0.6142595978	0.9035141408
97	0.6147166362	0.90230236
98	0.6151736746	0.9011501648
99	0.6151736746	0.9002122607
100	0.6147166362	0.8992717531
101	0.6138025594	0.8981610937
102	0.6142595978	0.8971227326
103	0.613345521	0.8960773841
104	0.613345521	0.8951422023
105	0.6128884826	0.8941733522
106	0.6142595978	0.8932140056
107	0.613345521	0.8919952038
108	0.613345521	0.8911312971
109	0.6142595978	0.8901925794
110	0.613345521	0.8890947469
111	0.615630713	0.8882955244
112	0.6142595978	0.8872174651
113	0.6138025594	0.8862989349
114	0.6142595978	0.8854332563
115	0.6142595978	0.8845777744
116	0.6147166362	0.8835657425
117	0.615630713	0.8827787564
118	0.6160877514	0.8819044441
119	0.615630713	0.8810627547
120	0.6160877514	0.8804088344
121	0.6170018282	0.8795638414
122	0.6174588665	0.8788385274
123	0.6174588665	0.8781422481
124	0.6170018282	0.8775539308
125	0.6174588665	0.8768366683
126	0.6179159049	0.8760933129
127	0.6170018282	0.875332397
128	0.6174588665	0.8747028421
129	0.6174588665	0.8741923627
130	0.6179159049	0.8734370196
131	0.6170018282	0.8729706796
132	0.6183729433	0.8723878761
133	0.6174588665	0.871812102
134	0.6179159049	0.8710296143
135	0.6179159049	0.8705497152
136	0.6170018282	0.8699902557
137	0.6170018282	0.8695101322
138	0.6170018282	0.8689099348
139	0.6174588665	0.8684040504
140	0.6170018282	0.8678870663
141	0.6165447898	0.8673131873
142	0.6174588665	0.8667916044
143	0.6165447898	0.8661823991
144	0.6179159049	0.8655328801
145	0.6179159049	0.8650052194
146	0.6174588665	0.864518698
147	0.6179159049	0.8642376027
148	0.6188299817	0.8637446412
149	0.6179159049	0.8632250248
150	0.6188299817	0.8626015473
151	0.6183729433	0.8620331233
152	0.6188299817	0.8616537193
153	0.6183729433	0.861216902
154	0.6192870201	0.860918153
155	0.6183729433	0.8603565023
156	0.6192870201	0.8596987126
157	0.6211151737	0.8591513236
158	0.6224862888	0.858674429
159	0.6220292505	0.8582382591
160	0.6229433272	0.8578333973
161	0.6229433272	0.857265697
162	0.6229433272	0.8568977167
163	0.6224862888	0.8565345284
164	0.6229433272	0.8561234221
165	0.6229433272	0.8556581313
166	0.6220292505	0.8551932108
167	0.6229433272	0.8545954515
168	0.6220292505	0.8541756469
169	0.6229433272	0.8536486174
