iter	Passed	Remaining
0	19	77053
1	25	51846
2	31	41565
3	35	35778
4	40	32593
5	45	30047
6	49	28227
7	54	27195
8	59	26475
9	64	25899
10	81	29427
11	85	28438
12	90	27762
13	94	26914
14	109	28999
15	132	33009
16	138	32487
17	148	32845
18	155	32497
19	174	34792
20	178	33794
21	182	32969
22	185	32060
23	188	31306
24	193	30715
25	198	30308
26	200	29515
27	204	29022
28	209	28670
29	213	28253
30	216	27658
31	218	27056
32	222	26694
33	243	28378
34	294	33361
35	310	34201
36	332	35661
37	335	35029
38	339	34488
39	341	33841
40	343	33156
41	345	32528
42	347	32008
43	349	31417
44	350	30841
45	352	30297
46	355	29893
47	357	29422
48	359	28955
49	361	28549
50	365	28307
51	369	28025
52	370	27624
53	372	27212
54	373	26819
55	375	26435
56	377	26129
57	379	25810
58	382	25529
59	385	25334
60	388	25060
61	389	24742
62	391	24436
63	393	24212
64	396	23997
65	398	23736
66	400	23533
67	403	23303
68	406	23144
69	409	23015
70	412	22827
71	416	22701
72	421	22650
73	422	22421
74	427	22358
75	450	23242
76	455	23210
77	459	23091
78	468	23239
79	472	23148
80	476	23037
81	482	23057
82	485	22909
83	494	23031
84	502	23164
85	519	23643
86	534	24019
87	538	23923
88	543	23902
89	547	23769
90	549	23601
91	553	23502
92	555	23318
93	556	23128
94	561	23068
95	562	22887
96	567	22839
97	569	22659
98	570	22485
99	572	22324
100	578	22333
101	580	22181
102	583	22075
103	584	21911
104	586	21747
105	589	21651
106	592	21570
107	594	21431
108	596	21280
109	598	21151
110	600	21035
111	602	20905
112	604	20780
113	607	20704
114	609	20577
115	613	20547
116	615	20432
117	617	20314
118	619	20189
119	621	20101
120	625	20039
121	626	19930
122	628	19826
123	630	19712
124	632	19596
125	634	19496
126	635	19384
127	638	19320
128	640	19209
129	641	19100
130	643	18995
131	645	18900
132	646	18805
133	649	18726
134	650	18624
135	652	18534
136	654	18454
137	656	18367
138	658	18279
139	660	18199
140	661	18111
141	663	18023
142	664	17936
143	666	17854
144	669	17786
145	671	17730
146	673	17653
147	675	17572
148	677	17500
149	678	17413
150	680	17341
151	682	17267
152	683	17184
153	686	17136
154	688	17071
155	689	16992
156	691	16916
157	693	16861
158	694	16785
159	696	16710
160	697	16638
161	699	16562
162	703	16549
163	704	16477
164	705	16403
165	707	16335
166	709	16277
167	710	16211
168	712	16141
169	713	16073
